Element (at.%),,,,,,Processing,,,,,,,,,,,,References
Al,Co,Cr,Fe,Ni,Ta,YS_MPa,UTS_MPa, El_%,Homo_Temp_K,Homo_time_h,CR,Recrystalize_Temp_K,recrystalize_t_min,Annealing_Temp_K,Ann_time_h,Aging_Time_K,Aging_Time_h,DOI
6,30.8,30.6,0,30.6,2,954,1456,22,1498,24,70,298,0,1173,1,1023,16,https://doi.org/10.1016/j.jmst.2022.06.012
6,30.8,30.6,0,30.6,2,858,1395,25,1498,24,70,298,0,1173,1,1023,4,https://doi.org/10.1016/j.jmst.2022.06.012
6,30.8,30.6,0,30.6,2,819,1321,30,1498,24,70,298,0,1173,1,1023,1,https://doi.org/10.1016/j.jmst.2022.06.012
6,30.8,30.6,0,30.6,2,602,1072,55,1498,24,70,298,0,1173,1,298,0,https://doi.org/10.1016/j.jmst.2022.06.012
6,30.8,30.6,0,30.6,2,600,1000,52,1498,24,70,1423,3,298,0,298,0,https://doi.org/10.1016/j.actamat.2021.117288
0,33.4,33.3,0,33.3,0,294,741,74,1498,24,70,1423,3,298,0,298,0,https://doi.org/10.1016/j.jmst.2021.01.060
10,29.34,29.33,0,29.33,2,1100,1400,20,1498,24,70,298,0,298,0,298,0,https://doi.org/10.1016/j.actamat.2022.117981
20,0,20,20,40,0,774,1357,6.4,298,0,0,298,0,298,0,298,0,Produced in the Lab
18,0,20,20,42,0,610,1173,9,298,0,0,298,0,298,0,298,0,
16,0,20,20,44,0,479,956,12.7,298,0,0,298,0,298,0,298,0,
14,0,20,20,46,0,461,835,30,298,0,0,298,0,298,0,298,0,
12,0,20,20,48,0,441,757,45,298,0,0,298,0,298,0,298,0,
11,22.25,22.25,22.25,22.25,0,500,980,19,298,0,0,298,0,298,0,298,0,
10,22.5,22.5,22.5,22.5,0,320,700,30,298,0,0,298,0,298,0,298,0,
9.1,30.3,0,30.3,30.3,0,457,852,76,1523,0.5,85,298,0,1273,2,1523,0.1,
9.1,30.3,0,30.3,30.3,0,378,752,57,1523,0.5,85,298,0,1273,2,973,50,
9,22.5,22.5,23,23,0,275,610,36,298,0,0,298,0,298,0,298,0,
8,23,23,23,23,0,242,529,47,298,0,0,298,0,298,0,298,0,
7,23.5,23.5,23,23,0,832,1174,8,298,0,0,298,0,298,0,298,0,
7,23.5,23.5,23,23,0,690,930,51,1373,48,90,298,0,1173,1,298,0,
7,23.5,23.5,23,23,0,305,525,44,298,0,0,298,0,298,0,973,72,
7,23.5,23.5,23,23,0,285,540,55,298,0,90,298,0,1423,1,823,150,
7,23.5,23.5,23,23,0,210,500,58,298,0,0,298,0,298,0,298,0,
5.3,21,21.1,26.3,26.3,0,284,450,23.8,298,0,13.3,298,0,298,0,298,0,
5.3,21,21.1,26.3,26.3,0,92,440,45,298,0,0,298,0,298,0,298,0,
1,33,33,0,33,0,539,924,62,1373,48,88,298,0,298,0,1073,1,
0,33.4,33.3,0,33.3,0,390,851,76,1373,48,88,298,0,1123,2,298,0,
